player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Taye Barber,78107,WR,TCU,2,100.0,1,1,15.0,4.9,0,0,0.0,100.0,1,0,1,0.0,2,0,1,305,74.7,70.8,70.7,,0,0,2,1,100.0,118.8,50.0,1,0,0,0,0,0,0.0,18,18.0
Drake Stoops,78087,WR,OKLAHOMA,2,100.0,1,1,11.0,4.3,0,0,0.0,100.0,1,0,1,0.0,2,0,1,261,74.7,65.9,72.6,62.3,0,0,2,0,0.0,118.8,0.0,0,1,0,0,0,0,0.0,13,13.0
Montrell Johnson Jr.,147141,HB,FLORIDA,1,,0,1,,3.1,0,0,0.0,0.0,0,0,0,,1,0,0,163,79.8,77.7,60.0,82.6,0,0,1,0,,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Bryson Daily,147303,QB,ARMY,2,100.0,1,1,35.0,3.6,0,0,0.0,0.0,0,0,1,100.0,2,1,0,114,26.1,94.5,74.7,90.4,0,0,2,0,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Devontae Houston,147375,HB,UCONN,1,100.0,1,1,-6.0,2.5,0,0,0.0,100.0,1,0,1,0.0,2,0,0,146,69.9,79.2,58.9,76.0,0,0,2,1,100.0,95.8,50.0,1,0,0,0,0,0,0.0,7,7.0
Brayden Willis,77917,TE,OKLAHOMA,1,100.0,1,1,19.0,2.9,0,0,0.0,100.0,1,0,1,0.0,1,0,1,261,47.2,70.5,72.6,62.2,0,0,1,2,0.0,158.3,0.0,0,0,0,0,1,0,0.0,24,24.0
Chase Brown,77787,HB,ILLINOIS,1,0.0,1,1,17.0,3.3,0,0,0.0,0.0,0,0,1,,1,0,0,187,74.5,81.2,48.5,81.6,0,0,1,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Chase Roberts,147528,WR,BYU,1,100.0,1,1,-3.0,3.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,128,71.4,70.1,60.6,58.3,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,22,22.0
Dontae Smith,77717,HB,GA TECH,1,100.0,1,1,23.0,3.1,0,0,0.0,100.0,1,0,0,0.0,1,0,1,176,57.3,70.6,78.3,75.8,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,24,24.0
Wyatt Rector,77687,TE,FLORIDA ST,2,100.0,1,1,4.0,3.0,0,0,0.0,100.0,1,0,1,0.0,1,0,1,167,67.1,49.0,47.4,56.7,0,0,2,0,0.0,118.8,0.0,0,0,0,0,1,1,50.0,2,2.0
Antonio Williams,156241,WR,CLEMSON,1,100.0,1,1,-3.0,2.8,0,0,0.0,100.0,1,1,1,0.0,1,0,0,140,44.3,68.5,60.4,59.0,0,0,1,1,0.0,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Quaterrius Tolbert,156584,WR,MIDDLE TN,1,100.0,1,1,-8.0,3.2,0,0,0.0,100.0,1,0,0,0.0,1,0,0,224,69.1,49.1,61.0,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-1.0
Alonza Barnett III,156710,QB,JAMES MAD,1,100.0,1,1,-2.0,1.5,0,0,0.0,100.0,1,0,0,0.0,1,0,0,197,69.7,66.1,61.0,63.1,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0
Peter Zamora,156788,QB,MARSHALL,1,0.0,1,1,4.0,1.7,0,0,0.0,0.0,0,0,0,,1,0,0,214,60.3,61.8,60.4,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jacob Conover,70963,QB,BYU,1,,0,1,,3.0,0,0,0.0,0.0,0,0,1,,1,0,0,128,68.7,59.1,60.0,59.3,0,0,1,0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Quinshon Judkins,157128,HB,OLE MISS,1,100.0,1,1,-5.0,0.7,0,0,0.0,100.0,1,0,0,0.0,1,0,0,226,81.2,88.2,60.4,90.8,0,0,1,1,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0
Elijah Cooks,61501,WR,S JOSE ST,2,100.0,1,1,19.0,4.6,0,1,50.0,100.0,1,0,1,0.0,1,0,1,285,75.1,83.5,72.9,,0,0,2,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0
Tyjon Lindsey,61489,WR,OREGON ST,1,100.0,1,1,6.0,3.9,0,0,0.0,100.0,1,0,1,0.0,1,0,1,265,71.9,69.0,60.4,63.2,0,0,1,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,27,27.0
Jacoby Jones,157518,WR,OHIO,1,100.0,1,1,2.0,3.3,0,0,0.0,100.0,1,0,1,0.0,1,0,1,259,74.7,85.9,60.4,,0,0,1,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0
Quian Williams,61237,WR,BUFFALO,1,100.0,1,1,10.0,3.4,0,0,0.0,100.0,1,0,0,0.0,1,0,1,126,63.3,70.0,55.3,59.6,0,0,1,2,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0
Jordyn Tyson,157690,WR,COLORADO,1,100.0,1,1,36.0,3.3,0,0,0.0,100.0,1,0,0,0.0,1,0,1,143,75.1,70.9,58.0,56.2,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,37,37.0
Nick Evers,158082,QB,OKLAHOMA,1,0.0,1,1,5.0,2.3,0,0,0.0,0.0,0,0,0,,1,0,0,261,60.3,45.8,45.9,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Preston Rice,60469,QB,MIDDLE TN,1,100.0,1,1,-2.0,1.1,0,0,0.0,100.0,1,0,0,0.0,1,0,0,224,71.2,57.8,60.4,57.4,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,-3,-3.0
Keytaon Thompson,60457,WR,VIRGINIA,1,0.0,1,1,7.0,2.0,0,0,0.0,0.0,0,0,1,,1,0,0,335,75.1,72.2,54.1,61.7,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Dalen Cobb,158341,WR,GA SOUTHRN,1,0.0,1,1,45.0,3.6,0,0,0.0,0.0,0,0,0,,1,0,0,174,66.9,58.6,49.9,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Nate Johnson,158489,QB,UTAH,1,100.0,1,1,6.0,2.9,0,0,0.0,100.0,1,0,0,0.0,1,0,1,328,68.7,76.0,60.4,72.1,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,16,16.0
Alex Orji,158545,QB,MICHIGAN,1,100.0,1,1,-4.0,1.2,0,0,0.0,100.0,1,0,0,0.0,1,0,0,222,70.5,82.0,60.4,73.4,0,0,1,0,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0
Hunter Johnson,60362,QB,CLEMSON,1,100.0,1,1,-3.0,1.4,0,0,0.0,100.0,1,0,0,0.0,1,0,0,140,60.3,61.9,60.6,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0
Brandon Mann,162822,QB,MICHIGAN,1,100.0,1,1,7.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,0,222,60.3,61.1,60.4,,0,0,1,0,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0
Bryce Baringer,60274,P,MICH STATE,1,0.0,1,1,19.0,4.2,0,0,0.0,0.0,0,0,1,,1,0,0,223,60.3,57.5,57.7,60.0,0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0
Harold Fannin Jr.,163104,TE,BOWL GREEN,1,0.0,1,1,17.0,2.8,0,0,0.0,0.0,0,0,0,,1,0,0,122,74.3,71.2,54.8,71.1,0,0,1,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Rontavius Groves,40901,WR,TEXAS ST,1,0.0,1,1,30.0,3.3,0,0,0.0,0.0,0,0,1,,1,0,0,314,79.5,57.5,49.9,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Myles Price,123155,WR,TEXAS TECH,1,,0,1,,3.8,0,0,0.0,0.0,0,0,1,,1,0,0,315,36.3,64.3,60.0,,0,0,1,0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
